read_name,true_start,aligned_start,abs_pos_error,mapq,error_rate,is_coding,region,tool
read_474_start18735193_len10000,18735193,18374864,360329,0,0.059300001710653305,False,noncoding,minimap2
read_474_start18735193_len10000,18735193,21169108,2433915,0,0.06260000169277191,False,noncoding,minimap2
read_474_start18735193_len10000,18735193,18190563,544630,0,0.06270000338554382,False,noncoding,minimap2
read_474_start18735193_len10000,18735193,21313680,2578487,0,0.06340000033378601,False,noncoding,minimap2
read_474_start18735193_len10000,18735193,20340159,1604966,0,0.06419999897480011,False,noncoding,minimap2
read_475_start44828865_len10000,44828865,44828866,1,60,0.04600000008940697,False,noncoding,minimap2
read_477_start49569922_len10000,49569922,49569923,1,60,0.04839999973773956,False,noncoding,minimap2
read_478_start44050676_len10000,44050676,44050677,1,60,0.04659999907016754,False,noncoding,minimap2
read_479_start15511944_len10000,15511944,15511945,1,60,0.048500001430511475,False,noncoding,minimap2
read_480_start15190998_len10000,15190998,15191000,2,60,0.04830000177025795,False,noncoding,minimap2
read_481_start26721012_len10000,26721012,26721013,1,60,0.049300000071525574,False,noncoding,minimap2
read_482_start29802081_len10000,29802081,29802083,2,60,0.04659999907016754,False,noncoding,minimap2
read_484_start19514396_len10000,19514396,19514397,1,60,0.05009999871253967,False,noncoding,minimap2
read_485_start26087465_len10000,26087465,26087466,1,60,0.055399999022483826,False,noncoding,minimap2
read_486_start35648132_len10000,35648132,35648133,1,60,0.050599999725818634,False,noncoding,minimap2
read_487_start17122770_len10000,17122770,17122771,1,60,0.05380000174045563,False,noncoding,minimap2
read_488_start35953734_len10000,35953734,35953735,1,60,0.0494999997317791,False,noncoding,minimap2
read_489_start43750472_len10000,43750472,43750475,3,60,0.048900000751018524,False,noncoding,minimap2
read_490_start36615327_len10000,36615327,36615328,1,60,0.04439999908208847,False,noncoding,minimap2
read_491_start19315494_len10000,19315494,19315495,1,60,0.05480000004172325,False,noncoding,minimap2
read_492_start48743921_len10000,48743921,48743922,1,60,0.049800001084804535,False,noncoding,minimap2
read_493_start33379566_len10000,33379566,33379567,1,60,0.051600001752376556,False,noncoding,minimap2
read_494_start19428814_len10000,19428814,19428815,1,60,0.047600001096725464,False,noncoding,minimap2
read_495_start40519793_len10000,40519793,40519794,1,60,0.052299998700618744,False,noncoding,minimap2
read_497_start29291949_len10000,29291949,29291950,1,60,0.04610000178217888,False,noncoding,minimap2
read_498_start30414182_len10000,30414182,30414183,1,60,0.052299998700618744,False,noncoding,minimap2
read_499_start37400130_len10000,37400130,37400131,1,60,0.05209999904036522,False,noncoding,minimap2
read_502_start24018811_len10000,24018811,24018812,1,60,0.04769999906420708,False,noncoding,minimap2
read_504_start22196520_len10000,22196520,22196521,1,60,0.04809999838471413,False,noncoding,minimap2
read_505_start21721184_len10000,21721184,21721185,1,60,0.05350000038743019,False,noncoding,minimap2
read_506_start30236737_len10000,30236737,30236738,1,60,0.050599999725818634,False,noncoding,minimap2
read_507_start46954859_len10000,46954859,46954860,1,60,0.04899999871850014,False,noncoding,minimap2
read_508_start31552724_len10000,31552724,31552725,1,60,0.04600000008940697,False,noncoding,minimap2
read_509_start46267097_len10000,46267097,46267098,1,60,0.05000000074505806,False,noncoding,minimap2
read_510_start19936302_len10000,19936302,19936307,5,60,0.052299998700618744,False,noncoding,minimap2
read_511_start17057337_len10000,17057337,17057338,1,60,0.05139999836683273,False,noncoding,minimap2
